id,brand,model,tip
720,فولکس, گلف, GTI
721,فولکس,وانت ,
722,فولکس,ون , ترنسپورتر
723,فولکس,ون , کدی
724,فولکس,ون , T2
725,فولکس,ون , T2 کمبی
726,فولکس,ون , T3
727,فونیکس, آریزو 6 پرو,
728,فونیکس, تیگو 7 پرو,
729,فونیکس, تیگو 8 پرو,
730,فیات, 500,
731,فیات, سی ینا,
732,فیدلیتی, پرایم, ۵ نفره
733,فیدلیتی, پرایم, ۷ نفره
734,کاپرا, 2,
735,کاپرا, تک کابین, تک دیفرانسیل
736,کاپرا, دو کابین, تک دیفرانسیل
737,کاپرا, دو کابین, دو دیفرانسیل
738,کوییک, اتوماتیک, فول
739,کوییک, اتوماتیک, فول پلاس
740,کوییک, اتوماتیک, S
741,کوییک, دنده‌ای, ساده
742,کوییک, دنده‌ای, G
743,کوییک, دنده‌ای, R
744,کوییک, دنده‌ای, R Plus
745,کوییک, دنده‌ای, S
746,کیا, اپتیما, 2400cc
747,کیا, اپتیما, 2700cc
748,کیا, اپتیما, GT Line 2400cc
749,کیا, اپتیما هیبرید,
750,کیا, اپیروس,
751,کیا, اسپورتیج, 2000cc توربو
752,کیا, اسپورتیج, 2400cc
753,کیا, اسپورتیج, 2700cc
754,کیا, اسپورتیج, GT Line 2400cc
755,کیا, پیکانتو,
756,کیا, ریو, سدان
757,کیا, ریو, هاچبک
758,کیا, ریو مونتاژ, اتوماتیک
759,کیا, ریو مونتاژ, دنده‌ای
760,کیا, سراتو, اتوماتیک 1600cc
761,کیا, سراتو, اتوماتیک 2000cc
762,کیا, سراتو کوپه, 1600cc
763,کیا, سراتو کوپه, 2000cc
764,کیا, سراتو مونتاژ, اتوماتیک 2000cc
765,کیا, سراتو مونتاژ, اتوماتیک آپشنال 2000cc
766,کیا, سراتو مونتاژ, دنده‌ای 1600cc
767,کیا, سراتو مونتاژ, دنده‌ای آپشنال 1600cc
768,کیا, سورنتو, نسل اول
769,کیا, سورنتو, نسل دوم
770,کیا, سورنتو, نسل سوم
771,کیا, سورنتو, GT Line نسل سوم
772,کیا, سول,
773,کیا, کادنزا,
774,کیا, کارناوال,
775,کیا, کارنز,
776,کیا, موهاوی, 6 سیلندر
777,کیا, موهاوی, 8 سیلندر
778,کی‌ام‌سی, K7,
779,کی‌ام‌سی, T8,
780,گریت وال, وینگل 5 تک کابین, تک دیفرانسیل
781,گریت وال, وینگل 5 تک کابین, دو دیفرانسیل
782,گریت وال, وینگل 5 دو کابین, تک دیفرانسیل
783,گریت وال, وینگل 5 دو کابین, دو دیفرانسیل
784,گریت وال, C30, اتوماتیک
785,گریت وال, C30, دنده‌ای
786,گریت وال,وانت  وینگل 3,
787,گریت وال,ون , 13 نفره
788,گریت وال,ون , 9 نفره
789,لادا, نیوا,
790,لکسوس, CT, 200 H
791,لکسوس, CT, 200H F
792,لکسوس, ES, 250
793,لکسوس, ES, 350
794,لکسوس, GS, 250
795,لکسوس, GS, 250 F
796,لکسوس, GS, 430
797,لکسوس, GS, 460
798,لکسوس, IS, 250
799,لکسوس, IS, 250 F
800,لکسوس, IS, 300
801,لکسوس, IS کروک, 300
802,لکسوس, LS, 460L
803,لکسوس, LX, 570
804,لکسوس, NX 200t, پرمیوم
805,لکسوس, NX 200t, پلاتینیوم
806,لکسوس, NX 200t, F
807,لکسوس, NX 300 H, 300
808,لکسوس, NX 300 H, 300 F
809,لکسوس, RX, 200T لاکچری
810,لکسوس, RX, 200T F
811,لکسوس, RX, 350
812,لکسوس, RX, 350 F
813,لندرور, دیسکاوری,
814,لندرور, دیفندر,
815,لندرور, رنجرور,
816,لندرور, رنجرور ایووک,
817,لندرور, سری مونتاژ,
818,لندرور, فریلندر,
819,لندمارک, V7,
820,لوتوس, الیزه, Cup 220
821,لوتوس, الیزه, S
822,لوکسژن, U6,
823,لیفان, 520,
824,لیفان, 520i,
825,لیفان, 620, 1600cc
826,لیفان, 620, 1800cc
827,لیفان, 820,
828,لیفان, X50, اتوماتیک
829,لیفان, X50, دنده‌ای
830,لیفان, X60, اتوماتیک
831,لیفان, X60, دنده‌ای
832,لیفان, X70,
833,مازراتی, کواتروپورته, ساده
834,مازراتی, کواتروپورته, GTS
835,مازراتی, کواتروپورته, S
836,مازراتی, گرن توریسمو, ساده
837,مازراتی, گرن توریسمو, MC
838,مازراتی, گرن توریسمو, S
839,مازراتی, گرن کبریو, ساده
840,مازراتی, گرن کبریو, MC
841,مازراتی, گرن کبریو, S
842,مازراتی, گیبلی,
843,مزدا, 2 مونتاژ, تیپ 2
844,مزدا, 3 مونتاژ, تیپ 1
845,مزدا, 3 مونتاژ, تیپ 2
846,مزدا, 3 مونتاژ, تیپ 3
847,مزدا, 323, اتوماتیک
848,مزدا, 323, دنده‌ای
849,مزدا, 323, F
850,مزدا, 3N صندوق‌دار مونتاژ, تیپ 1
851,مزدا, 3N صندوق‌دار مونتاژ, تیپ 2
852,مزدا, 3N صندوق‌دار مونتاژ, تیپ 3
853,مزدا, 3N صندوق‌دار مونتاژ, تیپ 4
854,مزدا, 3N هاچبک مونتاژ, تیپ 1
855,مزدا, 3N هاچبک مونتاژ, تیپ 3
856,مزدا,وانت , 1000
857,مزدا,وانت , 1600
858,مزدا,وانت , 2000 تک کابین بنزینی
859,مزدا,وانت , 2000 تک کابین دوگانه سوز
860,مزدا,وانت , 2000 دو کابین بنزینی
861,مزدا,وانت , 2000 دو کابین دوگانه سوز
862,مزدا,وانت , 2600
863,مزدا,وانت , کارا تک کابین 1700cc
864,مزدا,وانت , کارا تک کابین 2000cc
865,مزدا,وانت , کارا دو کابین 1700cc
866,مزدا,وانت , کارا دو کابین 2000cc
867,مکث موتور, کلوت, دنده‌ای
868,مکسوس,ون ,
869,میتسوبیشی, اوتلندر, تیپ 3
870,میتسوبیشی, اوتلندر, تیپ 4
871,میتسوبیشی, اوتلندر, تیپ 5
872,میتسوبیشی, اوتلندر PHEV,
873,میتسوبیشی, پاجرو 2 در, 4 سیلندر
874,میتسوبیشی, پاجرو 2 در, 6 سیلندر
875,میتسوبیشی, پاجرو 4 در, 4 سیلندر
876,میتسوبیشی, پاجرو 4 در, 6 سیلندر
877,میتسوبیشی, پاجرو مونتاژ, اتوماتیک
878,میتسوبیشی, پاجرو مونتاژ, دنده‌ای
879,میتسوبیشی, گالانت,
880,میتسوبیشی, لنسر, 1800cc
881,میتسوبیشی, لنسر, اتوماتیک 1600cc
882,میتسوبیشی, لنسر, دنده‌ای 1600cc
883,میتسوبیشی, میراژ,
884,میتسوبیشی, ASX, تیپ 4
885,میتسوبیشی, ASX, مید لاین
886,میتسوبیشی, ASX, های لاین
887,میتسوبیشی,وانت ,
888,میتسوبیشی,ون , کاسپین
889,مینی, کانتری من, S
890,مینی, کلاب من, S
891,مینی, کلاسیک,
892,مینی, کوپر S, 3 در
893,مینی, کوپر S, 5 در
894,نیسان, آلتیما,
895,نیسان, ایکس تریل, اتوماتیک
896,نیسان, ایکس تریل, دنده ای
897,نیسان, پاترول 2 در, 4 سیلندر
898,نیسان, پاترول 4 در, 4 سیلندر
899,نیسان, پاترول 4 در, 6 سیلندر
900,نیسان, پت فایندر,
901,نیسان, تی ینا مونتاژ, HI
902,نیسان, تی ینا مونتاژ, MID
903,نیسان, تی ینا وارداتی,
904,نیسان, تیدا,
905,نیسان, جوک, اسپرت
906,نیسان, جوک, اسکای پک
907,نیسان, جوک, پلاتینیوم
908,نیسان, رونیز,
909,نیسان, سانی,
910,نیسان, سرانزا,
911,نیسان, قشقایی,
912,نیسان, قشقایی مونتاژ,
913,نیسان, ماکسیما مونتاژ, اتوماتیک
914,نیسان, ماکسیما مونتاژ, دنده‌ای
915,نیسان, ماکسیما وارداتی,
916,نیسان, مورانو, LE
917,نیسان, مورانو, SE
918,نیسان, مورانو, SL
919,نیسان,وانت ,نیسان پیکاپ دو کابین بنزینی
920,نیسان,وانت ,نیسان پیکاپ دو کابین دوگانه سوز
921,نیسان,وانت , پاترول
922,نیسان,وانت , پیکاپ تک کابین
923,ولوو, C30,
924,ولوو, C70, کروک
925,ولوو, V40, R دیزاین
926,ولوو, V40, R دیزاین پلاس
927,ولوو, XC60, R دیزاین
928,ولوو, XC60, T5
929,ولوو, XC90, اینسکریپشن
930,ولوو, XC90, مومنتوم
931,ولوو, XC90, R دیزاین
932,ون ایران خودرو, غزال‌,
933,ون ایران خودرو, وانا,
934,ون سایپا, کاروان,
935,ون فاو, سیبا,
936,ون نارون, تاکسی,
937,ون نارون, شخصی,
938,هافی لوبو, لوبو,
939,هامر, H2,
940,هاوال, H2 مونتاژ,
941,هاوال, H6,
942,هاوال, H6 مونتاژ,
943,هاوال, H9,
944,هاوال, M4,
945,هاوال, M4 مونتاژ,
946,هایما, S5, اتوماتیک ۶ سرعته
947,هایما, S5, اتوماتیک CVT
948,هایما, S7, 2000cc
949,هایما, S7, توربو1800cc
950,هایما, S7 پلاس,
951,هن تنگ, X5 مونتاژ,
952,هن تنگ, X7 مونتاژ,
953,هوندا, آکورد, DX
954,هوندا, آکورد, EX
955,هوندا, آکورد, EXA
956,هوندا, آکورد, EXB
957,هوندا, آکورد, EXL
958,هوندا, آکورد, LXB
959,هوندا, سیویک,
960,هوندا, لجند,
961,هوندا, CR-V, تورینگ
962,هوندا, CR-V, EXL
963,هوندا, CR-X,
964,هیوسو,وانت  T205,
965,هیوندای,ون , H1
966,هیوندای,ون , H350
967,هیوندای, آزرا گرنجور, 2400cc
968,هیوندای, آزرا گرنجور, 3000cc
969,هیوندای, آزرا گرنجور, 3300cc
970,هیوندای, آوانته, اتوماتیک
971,هیوندای, آوانته, دنده‌ای
972,هیوندای, اسکوپ,
973,هیوندای, اکسل,
974,هیوندای, اکسنت, بلو
975,هیوندای, اکسنت, ساده
976,هیوندای, اکسنت مونتاژ,
977,هیوندای, النترا, 1600cc
978,هیوندای, النترا, 1800cc
979,هیوندای, النترا, 2000cc
980,هیوندای, النترا مونتاژ,
981,هیوندای, تراجت,
982,هیوندای, توسان ix 35, 2000cc
983,هیوندای, توسان ix 35, 2400cc
984,هیوندای, توسان ix 35, 2700cc
985,هیوندای, جنسیس سدان,
986,هیوندای, جنسیس کوپه,
987,هیوندای, سانتافه ix 45, 2400cc
988,هیوندای, سانتافه ix 45, 2700cc
989,هیوندای, سانتافه ix 45, 3500cc
990,هیوندای, سنتنیال,
991,هیوندای, سوناتا LF,
992,هیوندای, سوناتا LF هیبرید, gl
993,هیوندای, سوناتا LF هیبرید, gls
994,هیوندای, سوناتا LF هیبرید, gls plus
995,هیوندای, سوناتا NF, 3300cc
996,هیوندای, سوناتا NF, اتوماتیک 2400cc
997,هیوندای, سوناتا NF, دنده‌ای 2400cc
998,هیوندای, سوناتا YF,
999,هیوندای, وراکروز ix55,
1000,هیوندای, ورنا, اتوماتیک
1001,هیوندای, ورنا, دنده‌ای
1002,هیوندای, ولستر,
1003,هیوندای, FX کوپه, اتوماتیک
1004,هیوندای, FX کوپه, دنده‌ای
1005,هیوندای, i10 مونتاژ,
1006,هیوندای, i20,
1007,هیوندای, i20 مونتاژ, آپشنال
1008,هیوندای, i20 مونتاژ, ساده
1009,هیوندای, i30,
1010,هیوندای, i40,
1011,هیوندای, i40 استیشن,
1012,یوآز, پاتریوت,
1013,یوآز, پیکاپ,
